[2026-02-08T17:22:18+08:00][error] [0]方法不存在[/www/wwwroot/tdata.tgbota.top/app/kefu/controller/Baseinfo.php:146]
[2026-02-08T17:23:59+08:00][error] [0]方法不存在[/www/wwwroot/tdata.tgbota.top/app/kefu/controller/Baseinfo.php:146]
[2026-02-08T17:24:02+08:00][error] [0]方法不存在[/www/wwwroot/tdata.tgbota.top/app/kefu/controller/Baseinfo.php:146]
[2026-02-08T17:24:10+08:00][error] [0]方法不存在[/www/wwwroot/tdata.tgbota.top/app/kefu/controller/Baseinfo.php:146]
[2026-02-08T17:37:56+08:00][info] [{"id":1282,"account_status":"正常","count":300}]
[2026-02-08T17:38:24+08:00][info] [{"id":1282,"account_status":"正常","count":300}]
[2026-02-08T17:55:28+08:00][info] [{"id":1282,"account_status":"正常","count":300}]
[2026-02-08T18:01:37+08:00][info] [{"id":1282,"account_status":"正常","count":300}]
[2026-02-08T18:02:05+08:00][info] [{"id":1282,"account_status":"正常","count":300}]
[2026-02-08T18:24:40+08:00][info] []
[2026-02-08T18:24:49+08:00][info] [{"id":1282,"account_status":"正常","count":300}]
[2026-02-08T21:04:29+08:00][info] [{"id":1282,"account_status":"正常","count":300}]
